date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04 00:00:00+00:00,43.7,44.45,42.42,44.1,3376314,43.7,44.45,42.42,44.1,3376314,0.0,1.0
2021-01-05 00:00:00+00:00,43.47,44.08,43.17,43.7,1057819,43.47,44.08,43.17,43.7,1057819,0.0,1.0
2021-01-06 00:00:00+00:00,44.26,45.48,42.7,42.84,2722693,44.26,45.48,42.7,42.84,2722693,0.0,1.0
2021-01-07 00:00:00+00:00,46.05,46.48,44.885,44.91,4441091,46.05,46.48,44.885,44.91,4441091,0.0,1.0
2021-01-08 00:00:00+00:00,47.41,47.54,46.14,46.14,3798678,47.41,47.54,46.14,46.14,3798678,0.0,1.0
2021-01-11 00:00:00+00:00,48.1,48.155,46.32,46.87,3127661,48.1,48.155,46.32,46.87,3127661,0.0,1.0
2021-01-12 00:00:00+00:00,47.95,48.72,47.57,48.0,3437687,47.95,48.72,47.57,48.0,3437687,0.0,1.0
2021-01-13 00:00:00+00:00,48.57,49.75,48.47,49.72,3131795,48.57,49.75,48.47,49.72,3131795,0.0,1.0
2021-01-14 00:00:00+00:00,50.21,50.595,48.45,48.58,2753986,50.21,50.595,48.45,48.58,2753986,0.0,1.0
2021-01-15 00:00:00+00:00,48.8,50.95,48.32,50.27,2496752,48.8,50.95,48.32,50.27,2496752,0.0,1.0
2021-01-19 00:00:00+00:00,49.99,50.0,49.04,49.71,3251626,49.99,50.0,49.04,49.71,3251626,0.0,1.0
2021-01-20 00:00:00+00:00,49.85,50.97,49.7,50.03,2596545,49.85,50.97,49.7,50.03,2596545,0.0,1.0
2021-01-21 00:00:00+00:00,49.97,50.87,49.58,50.66,2339434,49.97,50.87,49.58,50.66,2339434,0.0,1.0
2021-01-22 00:00:00+00:00,48.8,50.235,48.29,50.0,4137908,48.8,50.235,48.29,50.0,4137908,0.0,1.0
2021-01-25 00:00:00+00:00,48.31,49.87,47.79,49.55,3267179,48.31,49.87,47.79,49.55,3267179,0.0,1.0
2021-01-26 00:00:00+00:00,47.79,48.73,46.75,48.42,7546875,47.79,48.73,46.75,48.42,7546875,0.0,1.0
2021-01-27 00:00:00+00:00,42.9,46.89,42.19,46.82,7700778,42.9,46.89,42.19,46.82,7700778,0.0,1.0
2021-01-28 00:00:00+00:00,46.0,46.44,43.43,43.44,7384167,46.0,46.44,43.43,43.44,7384167,0.0,1.0
2021-01-29 00:00:00+00:00,45.54,46.28,44.41,45.95,4704178,45.54,46.28,44.41,45.95,4704178,0.0,1.0
2021-02-01 00:00:00+00:00,46.43,46.97,45.59,46.48,3781542,46.43,46.97,45.59,46.48,3781542,0.0,1.0
2021-02-02 00:00:00+00:00,47.28,47.93,46.17,47.34,3198193,47.28,47.93,46.17,47.34,3198193,0.0,1.0
2021-02-03 00:00:00+00:00,48.05,48.06,46.31,47.47,2316699,48.05,48.06,46.31,47.47,2316699,0.0,1.0
2021-02-04 00:00:00+00:00,49.55,49.75,48.1,48.32,3130538,49.55,49.75,48.1,48.32,3130538,0.0,1.0
2021-02-05 00:00:00+00:00,50.38,50.58,49.06,49.8,3226435,50.38,50.58,49.06,49.8,3226435,0.0,1.0
2021-02-08 00:00:00+00:00,50.51,51.62,48.82,50.84,3537253,50.51,51.62,48.82,50.84,3537253,0.0,1.0
2021-02-09 00:00:00+00:00,49.1,49.74,47.67,49.21,4274506,49.1,49.74,47.67,49.21,4274506,0.0,1.0
