date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-01-04 00:00:00+00:00,87.5,90.57,86.67,88.81,2273816,87.5,90.57,86.67,88.81,2273816,0.0,1.0
2021-01-05 00:00:00+00:00,89.33,89.42,86.73,86.98,1327821,89.33,89.42,86.73,86.98,1327821,0.0,1.0
2021-01-06 00:00:00+00:00,89.72,91.56,87.5,87.5,1977445,89.72,91.56,87.5,87.5,1977445,0.0,1.0
2021-01-07 00:00:00+00:00,93.92,94.42,90.8,90.8,2472060,93.92,94.42,90.8,90.8,2472060,0.0,1.0
2021-01-08 00:00:00+00:00,94.41,96.71,93.77,94.46,3665358,94.41,96.71,93.77,94.46,3665358,0.0,1.0
2021-01-11 00:00:00+00:00,95.38,95.87,93.45,94.12,2333105,95.38,95.87,93.45,94.12,2333105,0.0,1.0
2021-01-12 00:00:00+00:00,95.82,96.04,94.37,95.4,1980883,95.82,96.04,94.37,95.4,1980883,0.0,1.0
2021-01-13 00:00:00+00:00,95.43,97.47,95.19,96.05,1391621,95.43,97.47,95.19,96.05,1391621,0.0,1.0
2021-01-14 00:00:00+00:00,96.13,96.93,95.63,95.63,2563319,96.13,96.93,95.63,95.63,2563319,0.0,1.0
2021-01-15 00:00:00+00:00,95.14,95.8,93.65,95.39,1239033,95.14,95.8,93.65,95.39,1239033,0.0,1.0
2021-01-19 00:00:00+00:00,96.9,97.1,95.48,96.0,2942261,96.9,97.1,95.48,96.0,2942261,0.0,1.0
2021-01-20 00:00:00+00:00,96.18,98.44,95.82,97.79,2855322,96.18,98.44,95.82,97.79,2855322,0.0,1.0
2021-01-21 00:00:00+00:00,96.03,96.82,94.95,96.63,1578471,96.03,96.82,94.95,96.63,1578471,0.0,1.0
2021-01-22 00:00:00+00:00,93.62,95.97,93.55,95.34,1743390,93.62,95.97,93.55,95.34,1743390,0.0,1.0
2021-01-25 00:00:00+00:00,92.44,94.66,91.69,94.08,2110545,92.44,94.66,91.69,94.08,2110545,0.0,1.0
2021-01-26 00:00:00+00:00,93.17,93.48,91.34,92.63,1808390,93.17,93.48,91.34,92.63,1808390,0.0,1.0
2021-01-27 00:00:00+00:00,87.83,91.73,87.61,89.94,3364839,87.83,91.73,87.61,89.94,3364839,0.0,1.0
2021-01-28 00:00:00+00:00,89.0,90.87,88.54,90.44,2301526,89.0,90.87,88.54,90.44,2301526,0.0,1.0
2021-01-29 00:00:00+00:00,87.71,89.17,87.38,88.33,3248626,87.71,89.17,87.38,88.33,3248626,0.0,1.0
2021-02-01 00:00:00+00:00,90.63,91.23,88.4,88.69,2447500,90.63,91.23,88.4,88.69,2447500,0.0,1.0
2021-02-02 00:00:00+00:00,90.44,91.9,90.29,91.27,1944159,90.44,91.9,90.29,91.27,1944159,0.0,1.0
2021-02-03 00:00:00+00:00,87.87,90.77,87.73,90.48,2782786,87.87,90.77,87.73,90.48,2782786,0.0,1.0
2021-02-04 00:00:00+00:00,89.49,89.9,87.55,88.49,3178598,89.49,89.9,87.55,88.49,3178598,0.0,1.0
2021-02-05 00:00:00+00:00,89.2,90.595,88.96,90.595,1572665,89.2,90.595,88.96,90.595,1572665,0.0,1.0
2021-02-08 00:00:00+00:00,91.58,91.65,89.29,89.29,1866080,91.58,91.65,89.29,89.29,1866080,0.0,1.0
2021-02-09 00:00:00+00:00,91.22,91.9,90.82,91.38,1482743,91.22,91.9,90.82,91.38,1482743,0.0,1.0
2021-02-10 00:00:00+00:00,91.31,92.34,90.35,92.02,1929574,91.31,92.34,90.35,92.02,1929574,0.0,1.0
2021-02-11 00:00:00+00:00,94.94,95.09,92.5,92.77,1980493,94.94,95.09,92.5,92.77,1980493,0.0,1.0
2021-02-12 00:00:00+00:00,96.22,96.54,94.3511,94.55,1301577,96.22,96.54,94.3511,94.55,1301577,0.0,1.0
2021-02-16 00:00:00+00:00,96.16,98.07,95.95,96.87,2004622,96.16,98.07,95.95,96.87,2004622,0.0,1.0
2021-02-17 00:00:00+00:00,95.63,96.83,93.06,94.47,1251489,95.63,96.83,93.06,94.47,1251489,0.0,1.0
2021-02-18 00:00:00+00:00,94.58,95.1,92.96,94.58,1155713,94.58,95.1,92.96,94.58,1155713,0.0,1.0
2021-02-19 00:00:00+00:00,98.15,98.31,95.76,95.76,2260235,98.15,98.31,95.76,95.76,2260235,0.0,1.0
2021-02-22 00:00:00+00:00,95.32,97.89,94.84,97.17,1784964,95.32,97.89,94.84,97.17,1784964,0.0,1.0
2021-02-23 00:00:00+00:00,94.19,94.8,91.52,94.51,1320126,94.19,94.8,91.52,94.51,1320126,0.0,1.0
2021-02-24 00:00:00+00:00,96.75,96.96,92.59,93.1,1456612,96.75,96.96,92.59,93.1,1456612,0.0,1.0
2021-02-25 00:00:00+00:00,91.69,95.96,91.52,95.32,1444862,91.69,95.96,91.52,95.32,1444862,0.0,1.0
2021-02-26 00:00:00+00:00,93.17,94.33,91.25,93.04,1859492,93.17,94.33,91.25,93.04,1859492,0.0,1.0
2021-03-01 00:00:00+00:00,95.18,95.29,92.67,93.47,1544018,95.18,95.29,92.67,93.47,1544018,0.0,1.0
2021-03-02 00:00:00+00:00,92.63,95.54,92.46,95.54,1172212,92.63,95.54,92.46,95.54,1172212,0.0,1.0
2021-03-03 00:00:00+00:00,89.51,92.91,89.42,92.57,1351064,89.51,92.91,89.42,92.57,1351064,0.0,1.0
2021-03-04 00:00:00+00:00,86.36,89.21,84.82,88.83,1717342,86.36,89.21,84.82,88.83,1717342,0.0,1.0
2021-03-05 00:00:00+00:00,88.49,89.04,85.33,88.58,2727678,88.49,89.04,85.33,88.58,2727678,0.0,1.0
2021-03-08 00:00:00+00:00,85.03,88.93,84.94,87.52,2258559,85.03,88.93,84.94,87.52,2258559,0.0,1.0
2021-03-09 00:00:00+00:00,88.11,89.18,87.72,88.08,5468694,88.11,89.18,87.72,88.08,5468694,0.0,1.0
2021-03-10 00:00:00+00:00,86.9,89.41,86.79,88.65,2086879,86.9,89.41,86.79,88.65,2086879,0.0,1.0
2021-03-11 00:00:00+00:00,89.17,90.1,88.63,89.0,3697102,89.17,90.1,88.63,89.0,3697102,0.0,1.0
2021-03-12 00:00:00+00:00,87.98,88.24,86.81,87.39,1864371,87.98,88.24,86.81,87.39,1864371,0.0,1.0
2021-03-15 00:00:00+00:00,88.91,88.98,87.03,87.96,2175823,88.91,88.98,87.03,87.96,2175823,0.0,1.0
2021-03-16 00:00:00+00:00,90.19,91.12,89.7,89.91,1599492,90.19,91.12,89.7,89.91,1599492,0.0,1.0
2021-03-17 00:00:00+00:00,91.12,91.59,88.3345,88.88,2030284,91.12,91.59,88.3345,88.88,2030284,0.0,1.0
2021-03-18 00:00:00+00:00,88.03,90.3693,87.78,89.24,2232762,88.03,90.3693,87.78,89.24,2232762,0.0,1.0
2021-03-19 00:00:00+00:00,89.32,90.19,86.9169,88.44,3875840,89.32,90.19,86.9169,88.44,3875840,0.0,1.0
2021-03-22 00:00:00+00:00,90.66,91.99,90.12,90.755,2436354,90.66,91.99,90.12,90.755,2436354,0.0,1.0
2021-03-23 00:00:00+00:00,88.85,91.07,88.16,90.71,2153428,88.85,91.07,88.16,90.71,2153428,0.0,1.0
2021-03-24 00:00:00+00:00,89.39,91.47,89.38,90.05,1958637,89.39,91.47,89.38,90.05,1958637,0.0,1.0
2021-03-25 00:00:00+00:00,88.42,89.22,86.58,88.95,2043424,88.42,89.22,86.58,88.95,2043424,0.0,1.0
2021-03-26 00:00:00+00:00,93.14,93.27,88.11,88.38,2566249,93.14,93.27,88.11,88.38,2566249,0.0,1.0
2021-03-29 00:00:00+00:00,91.04,92.88,89.83,92.55,1687458,91.04,92.88,89.83,92.55,1687458,0.0,1.0
2021-03-30 00:00:00+00:00,89.92,90.63,89.4,90.42,1313750,89.92,90.63,89.4,90.42,1313750,0.0,1.0
2021-03-31 00:00:00+00:00,91.37,92.27,90.47,90.7,2561443,91.37,92.27,90.47,90.7,2561443,0.0,1.0
2021-04-01 00:00:00+00:00,95.45,95.61,92.47,92.47,2426407,95.45,95.61,92.47,92.47,2426407,0.0,1.0
2021-04-05 00:00:00+00:00,97.32,97.77,95.54,96.11,2435975,97.32,97.77,95.54,96.11,2435975,0.0,1.0
2021-04-06 00:00:00+00:00,96.71,97.6,95.55,96.71,3981896,96.71,97.6,95.55,96.71,3981896,0.0,1.0
2021-04-07 00:00:00+00:00,95.34,96.81,94.9,96.81,1513521,95.34,96.81,94.9,96.81,1513521,0.0,1.0
2021-04-08 00:00:00+00:00,96.6,96.75,95.62,96.57,3525109,96.6,96.75,95.62,96.57,3525109,0.0,1.0
2021-04-09 00:00:00+00:00,95.77,96.6,95.515,96.28,1576631,95.77,96.6,95.515,96.28,1576631,0.0,1.0
2021-04-12 00:00:00+00:00,95.01,96.45,94.44,95.36,2527244,95.01,96.45,94.44,95.36,2527244,0.0,1.0
2021-04-13 00:00:00+00:00,94.78,95.89,93.73,95.45,1622067,94.78,95.89,93.73,95.45,1622067,0.0,1.0
2021-04-14 00:00:00+00:00,94.21,95.74,93.82,94.64,2122364,94.21,95.74,93.82,94.64,2122364,0.0,1.0
2021-04-15 00:00:00+00:00,95.54,96.0,94.36,94.96,1747700,95.54,96.0,94.36,94.96,1747700,0.0,1.0
2021-04-16 00:00:00+00:00,95.13,96.1,94.92,95.87,3361836,95.13,96.1,94.92,95.87,3361836,0.0,1.0
2021-04-19 00:00:00+00:00,93.89,94.83,93.11,94.79,2152858,93.89,94.83,93.11,94.79,2152858,0.0,1.0
2021-04-20 00:00:00+00:00,92.58,93.55,91.96,93.15,2339127,92.58,93.55,91.96,93.15,2339127,0.0,1.0
2021-04-21 00:00:00+00:00,94.87,95.04,92.33,92.66,3271230,94.87,95.04,92.33,92.66,3271230,0.0,1.0
2021-04-22 00:00:00+00:00,93.19,95.03,93.1,94.48,2474944,93.19,95.03,93.1,94.48,2474944,0.0,1.0
2021-04-23 00:00:00+00:00,96.19,96.83,93.85,93.99,4084585,96.19,96.83,93.85,93.99,4084585,0.0,1.0
2021-04-26 00:00:00+00:00,97.67,98.13,95.73,96.1,2007920,97.67,98.13,95.73,96.1,2007920,0.0,1.0
2021-04-27 00:00:00+00:00,96.92,98.48,96.75,97.56,2708952,96.92,98.48,96.75,97.56,2708952,0.0,1.0
2021-04-28 00:00:00+00:00,94.58,96.92,94.03,96.92,2572184,94.58,96.92,94.03,96.92,2572184,0.0,1.0
2021-04-29 00:00:00+00:00,97.075,97.09,94.67,95.33,5517226,97.075,97.09,94.67,95.33,5517226,0.0,1.0
2021-04-30 00:00:00+00:00,94.0,96.09,93.68,95.5,2551488,94.0,96.09,93.68,95.5,2551488,0.0,1.0
2021-05-03 00:00:00+00:00,92.8,95.0,92.67,95.0,2224571,92.8,95.0,92.67,95.0,2224571,0.0,1.0
2021-05-04 00:00:00+00:00,93.1,93.24,91.275,92.05,2517685,93.1,93.24,91.275,92.05,2517685,0.0,1.0
2021-05-05 00:00:00+00:00,94.52,95.4497,93.58,94.04,1729220,94.52,95.4497,93.58,94.04,1729220,0.0,1.0
2021-05-06 00:00:00+00:00,95.28,96.08,93.99,94.61,3249920,95.28,96.08,93.99,94.61,3249920,0.0,1.0
2021-05-07 00:00:00+00:00,96.58,97.38,95.86,96.5,2658423,96.58,97.38,95.86,96.5,2658423,0.0,1.0
2021-05-10 00:00:00+00:00,92.65,96.32,92.58,95.04,2897356,92.65,96.32,92.58,95.04,2897356,0.0,1.0
2021-05-11 00:00:00+00:00,92.95,94.3,90.99,91.27,3822395,92.95,94.3,90.99,91.27,3822395,0.0,1.0
2021-05-12 00:00:00+00:00,89.93,91.89,89.64,91.12,2229939,89.93,91.89,89.64,91.12,2229939,0.0,1.0
2021-05-13 00:00:00+00:00,90.45,92.13,89.88,91.0,2079063,90.45,92.13,89.88,91.0,2079063,0.0,1.0
2021-05-14 00:00:00+00:00,92.85,93.51,90.91,91.21,4673733,92.85,93.51,90.91,91.21,4673733,0.0,1.0
2021-05-17 00:00:00+00:00,91.43,92.44,90.37,92.1,4604071,91.43,92.44,90.37,92.1,4604071,0.0,1.0
2021-05-18 00:00:00+00:00,90.02,92.5,89.96,92.13,2178978,90.02,92.5,89.96,92.13,2178978,0.0,1.0
2021-05-19 00:00:00+00:00,94.32,94.46,88.54,88.57,5016719,94.32,94.46,88.54,88.57,5016719,0.0,1.0
2021-05-20 00:00:00+00:00,98.61,99.56,95.0,95.0,3977104,98.61,99.56,95.0,95.0,3977104,0.0,1.0
2021-05-21 00:00:00+00:00,98.85,99.37,98.35,99.0,1721448,98.85,99.37,98.35,99.0,1721448,0.0,1.0
2021-05-24 00:00:00+00:00,100.7,101.07,99.625,100.18,2168830,100.7,101.07,99.625,100.18,2168830,0.0,1.0
2021-05-25 00:00:00+00:00,101.24,102.31,100.76,101.84,2602042,101.24,102.31,100.76,101.84,2602042,0.0,1.0
2021-05-26 00:00:00+00:00,101.07,102.13,100.34,101.52,3622482,101.07,102.13,100.34,101.52,3622482,0.0,1.0
2021-05-27 00:00:00+00:00,101.16,102.31,100.82,100.86,2543513,101.16,102.31,100.82,100.86,2543513,0.0,1.0
2021-05-28 00:00:00+00:00,102.01,102.62,100.83,101.12,1568335,102.01,102.62,100.83,101.12,1568335,0.0,1.0
2021-06-01 00:00:00+00:00,101.13,102.92,100.29,101.87,2057485,101.13,102.92,100.29,101.87,2057485,0.0,1.0
2021-06-02 00:00:00+00:00,101.57,102.31,101.08,101.24,2254173,101.57,102.31,101.08,101.24,2254173,0.0,1.0
2021-06-03 00:00:00+00:00,100.19,101.29,99.59,100.72,1571639,100.19,101.29,99.59,100.72,1571639,0.0,1.0
2021-06-04 00:00:00+00:00,102.43,102.83,101.24,101.46,2239626,102.43,102.83,101.24,101.46,2239626,0.0,1.0
2021-06-07 00:00:00+00:00,101.5,102.51,101.49,102.14,1925500,101.5,102.51,101.49,102.14,1925500,0.0,1.0
2021-06-08 00:00:00+00:00,102.05,102.77,100.855,102.4,2085379,102.05,102.77,100.855,102.4,2085379,0.0,1.0
2021-06-09 00:00:00+00:00,102.98,103.2,102.18,102.35,2155736,102.98,103.2,102.18,102.35,2155736,0.0,1.0
2021-06-10 00:00:00+00:00,103.6,103.94,101.92,103.45,1643049,103.6,103.94,101.92,103.45,1643049,0.0,1.0
2021-06-11 00:00:00+00:00,103.63,103.83,102.93,103.66,1670434,103.63,103.83,102.93,103.66,1670434,0.0,1.0
2021-06-14 00:00:00+00:00,104.13,104.14,102.46,103.52,1436269,104.13,104.14,102.46,103.52,1436269,0.0,1.0
