Symbol,Final Ranking
AZO,1
LOW,2
AAP,3
ORLY,4
IRM,5
SJR,6
DGX,7
CDW,8
JNPR,9
DPZ,10
BK,11
SCI,12
ORCL,13
RHI,14
JCI,15
GS,16
FAF,17
ARW,18
HD,19
FNF,20
NDAQ,21
KR,22
GD,23
CSL,24
E,25
IX,26
MCK,27
AON,28
TSCO,29
EBAY,30
ENB,31
SHW,32
MAS,33
NOC,34
CB,35
TGT,36
GPC,37
BMO,38
CM,39
AOS,40
ABB,41
PFE,42
TROW,43
FE,44
EQR,45
AVB,46
JPM,47
GWW,48
MO,49
BNS,50
ADP,51
MMP,52
PSA,53
GOOG,54
UDR,55
ESS,56
EPD,57
INFY,58
NSC,59
CSCO,60
TRI,61
ABBV,62
NVO,63
BIP,64
LHX,65
WM,66
BCE,67
AIZ,68
SNA,69
NTR,70
CPT,71
RS,72
MTD,73
MAA,74
SJM,75
COST,76
UNP,77
OMC,78
FFIV,79
LII,80
TD,81
AAPL,82
ICL,83
MSI,84
ODFL,85
LH,86
UBS,87
TRP,88
ACN,89
PAYX,90
RY,91
LIN,92
PLD,93
YUM,94
CSX,95
EXC,96
WAT,97
PM,98
BG,99
NLOK,100
FR,101
GSK,102
NTRS,103
CBOE,104
ETN,105
CNA,106
KEYS,107
PG,108
BAM,109
WBA,110
LLY,111
MMC,112
CAJ,113
TRV,114
SLF,115
CVS,116
LBTYA,117
CCI,118
TEL,119
MSFT,120
TT,121
EXR,122
FDS,123
INTU,124
GILD,125
EVRG,126
CERN,127
ALL,128
NGG,129
SBAC,130
UGI,131
AVY,132
TEF,133
PNR,134
WSO,135
G,136
IBM,137
DG,138
RSG,139
RE,140
DLR,141
DE,142
DOX,143
CCK,144
UNH,145
PPL,146
PANW,147
TSN,148
BTI,149
JBHT,150
HSY,151
ADM,152
POOL,153
ROK,154
ELS,155
CTAS,156
FAST,157
BRO,158
CUBE,159
GIS,160
GIB,161
PWR,162
LBRDA,163
BLK,164
CHRW,165
DTE,166
LBRDK,167
IP,168
AMH,169
INVH,170
WST,171
RELX,172
EL,173
PGR,174
DOV,175
IFF,176
SO,177
KNX,178
EFX,179
SIRI,180
DEO,181
A,182
STZ,183
PEG,184
CME,185
HUBB,186
APH,187
TM,188
CHTR,189
FB,190
DRE,191
IQV,192
TECH,193
UHAL,194
ZTS,195
SEIC,196
EIX,197
J,198
WRB,199
EMR,200
MDLZ,201
ABC,202
INFO,203
ITW,204
DVA,205
WIT,206
ETR,207
CAH,208
EXPD,209
CTSH,210
CRH,211
KMB,212
BMY,213
AMGN,214
CMI,215
SNPS,216
ICLR,217
LMT,218
QSR,219
LNT,220
CAT,221
K,222
UPS,223
GL,224
WCN,225
MCD,226
MMM,227
PEP,228
CRL,229
KO,230
MCO,231
KHC,232
HUM,233
T,234
PTR,235
ABT,236
EGP,237
LSI,238
MORN,239
VMC,240
SSNC,241
TMO,242
DHR,243
SNY,244
TTC,245
CL,246
NVS,247
ORAN,248
CDNS,249
EW,250
CHH,251
BEP,252
VOD,253
ALLE,254
SPGI,255
REXR,256
BAH,257
JKHY,258
SNP,259
AGR,260
WBK,261
CLX,262
SRE,263
VRSN,264
CHKP,265
FTS,266
NMR,267
CAG,268
NI,269
HON,270
IDXX,271
RIO,272
NEE,273
JNJ,274
Y,275
BHP,276
D,277
WEC,278
PKI,279
MRK,280
CCEP,281
HSIC,282
BDX,283
NEM,284
HMC,285
TAK,286
AWK,287
AMX,288
NWS,289
KEP,290
TXN,291
CMG,292
RCI,293
VZ,294
NDSN,295
AZN,296
STE,297
WMT,298
REGN,299
ES,300
RPM,301
NWSA,302
SUI,303
UTHR,304
BR,305
OTEX,306
PPG,307
BAX,308
EQIX,309
CPB,310
ED,311
GRMN,312
BIO,313
FIS,314
VIV,315
UL,316
AJG,317
CNI,318
TJX,319
APD,320
LFC,321
XYL,322
AEP,323
LDOS,324
EA,325
KDP,326
FRC,327
ISRG,328
PKG,329
ICE,330
SONY,331
XEL,332
VMW,333
AME,334
AMT,335
IEX,336
AMCR,337
ADBE,338
PCAR,339
VRSK,340
RMD,341
CHD,342
NKE,343
CMS,344
MKL,345
HRL,346
WLTW,347
LOGI,348
TRU,349
AKAM,350
HOLX,351
SBUX,352
TYL,353
ARE,354
BERY,355
MDT,356
DUK,357
NUAN,358
V,359
BLL,360
CPRT,361
FISV,362
CONE,363
TSM,364
MUFG,365
MA,366
O,367
VRTX,368
MASI,369
ERIE,370
BSX,371
SYK,372
ROP,373
HSBC,374
TU,375
ECL,376
CMCSA,377
XRAY,378
GGG,379
COO,380
MKC,381
CP,382
TDY,383
RACE,384
FTV,385
ERIC,386
SNN,387
SAP,388
KB,389
TLK,390
GWRE,391
AEE,392
FNV,393
WTRG,394
NICE,395
MPW,396
SMFG,397
TAP,398
CHT,399
BKI,400
SHG,401
ANSS,402
ATO,403
ROL,404
CTXS,405
FMX,406
AMZN,407
TTWO,408
MNST,409
MFG,410
YUMC,411
ZIONO,412
GMAB,413
ZBH,414
ACGLO,415
RDY,416
QGEN,417
CMSA,418
DUKB,419
HGH,420
CMSC,421
CABO,422
DTW,423
ZIONP,424
SOJC,425
IEP,426
TBB,427
ZTO,428
TBC,429
SKM,430
CSGP,431
TFX,432
PRS,433
FITBI,434
AQNA,435
ENBA,436
TMUS,437
DIS,438
BUD,439
INCY,440
FMS,441
AQN,442
PHG,443
COLD,444
ATVI,445
