,portfolio_val,cash,paid_out_dividends,fees,taxes,num_buys,num_sells,num_adj,buy_vol,sell_vol,adj_vol
2021-02-11,94142.5370103815,3877.1757396185144,19.71275,2000.0,7.477250000000001,100,0,0,94142.5370103815,0.0,0.0
2021-02-12,94625.60783385254,3884.9912396185146,7.8155,0.0,2.9645,0,0,0,0.0,0.0,0.0
2021-02-16,94549.2929643171,3887.4562396185147,2.4650000000000003,0.0,0.9350000000000005,0,0,0,0.0,0.0,0.0
2021-02-17,94425.71105168156,3891.3422396185147,3.886,0.0,1.4740000000000002,0,0,0,0.0,0.0,0.0
2021-02-18,93881.92236177776,3898.0412396185147,6.699,0.0,2.5410000000000004,0,0,0,0.0,0.0,0.0
2021-02-19,94515.91266938945,3904.740239618515,6.699,0.0,2.5410000000000004,0,0,0,0.0,0.0,0.0
2021-02-22,94130.02726621524,3909.1989896185146,4.45875,0.0,1.6912500000000001,0,0,0,0.0,0.0,0.0
2021-02-23,94041.61057680195,3909.1989896185146,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-02-24,94891.587430939,3909.1989896185146,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-02-25,93357.17569942665,3928.797189618515,19.5982,0.0,7.433799999999998,0,0,0,0.0,0.0,0.0
2021-02-26,92756.92753377015,3938.425189618515,9.628000000000002,0.0,3.652000000000001,0,0,0,0.0,0.0,0.0
2021-03-01,95044.90176710137,3941.143939618515,2.71875,0.0,1.03125,0,0,0,0.0,0.0,0.0
2021-03-02,94540.30518060223,3941.723939618515,0.5800000000000001,0.0,0.21999999999999886,0,0,0,0.0,0.0,0.0
2021-03-03,93724.91243811915,3948.901439618515,7.1775,0.0,2.7224999999999966,0,0,0,0.0,0.0,0.0
2021-03-04,92048.52124126928,4002.7544396185153,53.853,0.0,20.426999999999992,0,0,0,0.0,0.0,0.0
2021-03-05,94065.23057666482,4004.320439618515,1.566,0.0,0.5940000000000012,0,0,0,0.0,0.0,0.0
2021-03-08,94412.38649783275,4004.320439618515,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-03-09,95317.96806111374,4004.320439618515,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-03-10,96086.41258204923,4007.909189618515,3.588749999999999,0.0,1.3612499999999983,0,0,0,0.0,0.0,0.0
2021-03-11,96835.98152166419,4013.7773396185153,5.868149999999999,0.0,2.225849999999994,0,0,0,0.0,0.0,0.0
2021-03-12,97184.81852893489,4038.6426646185155,24.865325,0.0,9.431675000000006,0,0,0,0.0,0.0,0.0
2021-03-15,97877.5467562324,4047.7486646185152,9.106,0.0,3.4539999999999935,0,0,0,0.0,0.0,0.0
2021-03-16,97506.13766942138,4056.281914618515,8.53325,0.0,3.2367499999999865,0,0,0,0.0,0.0,0.0
2021-03-17,97568.52966087658,4058.555514618515,2.2736,0.0,0.8623999999999938,0,0,0,0.0,0.0,0.0
2021-03-18,96966.26701079914,4058.555514618515,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-03-19,96907.32438007806,4062.2747646185153,3.7192500000000006,0.0,1.4107500000000073,0,0,0,0.0,0.0,0.0
2021-03-22,97180.20072741294,4063.8516396185155,1.5768749999999998,0.0,0.598124999999996,0,0,0,0.0,0.0,0.0
2021-03-23,96062.65269021927,4063.8516396185155,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-03-24,96035.37171408407,4080.0626396185153,16.211,0.0,6.149000000000001,0,0,0,0.0,0.0,0.0
2021-03-25,97024.99460532684,4081.5952896185154,1.5326499999999998,0.0,0.5813500000000005,0,0,0,0.0,0.0,0.0
2021-03-26,99107.41230899475,4101.302239618515,19.70695,0.0,7.475049999999996,0,0,0,0.0,0.0,0.0
2021-03-29,98766.583296862,4124.113639618515,22.8114,0.0,8.652600000000007,0,0,0,0.0,0.0,0.0
2021-03-30,98750.81556981847,4142.100889618516,17.987250000000003,0.0,6.822750000000013,0,0,0,0.0,0.0,0.0
2021-03-31,98523.075778222,4142.100889618516,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-01,97245.73969497715,3708.8683098650063,0.0,2100.0,373.75508919484963,31,31,43,30775.413781642914,29200.339000668504,6051.4430872297135
2021-04-05,98133.31021471051,3723.8642098650066,14.995899999999999,0.0,5.688100000000077,0,0,0,0.0,0.0,0.0
2021-04-06,98062.39826994612,3723.8642098650066,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-07,97803.78320009103,3727.3442098650066,3.4799999999999995,0.0,1.3199999999999932,0,0,0,0.0,0.0,0.0
2021-04-08,97989.99210717507,3737.1288098650066,9.7846,0.0,3.711399999999969,0,0,0,0.0,0.0,0.0
2021-04-09,98664.33189954111,3737.1288098650066,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-12,98964.31529267972,3737.1288098650066,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-13,98587.7501053082,3755.6380598650067,18.50925,0.0,7.020750000000021,0,0,0,0.0,0.0,0.0
2021-04-14,98815.7135558426,3769.325334865007,13.687275,0.0,5.191724999999963,0,0,0,0.0,0.0,0.0
2021-04-15,99580.24790397436,3769.325334865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-16,100213.64581523903,3769.325334865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-19,99749.89743770033,3769.325334865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-20,98861.44708216404,3771.500334865007,2.175,0.0,0.8249999999999886,0,0,0,0.0,0.0,0.0
2021-04-21,99886.08509269397,3778.334909865007,6.834574999999999,0.0,2.5924249999999915,0,0,0,0.0,0.0,0.0
2021-04-22,99049.99507092958,3780.654909865007,2.3200000000000003,0.0,0.8799999999999955,0,0,0,0.0,0.0,0.0
2021-04-23,100165.85328092388,3783.641909865007,2.987,0.0,1.1329999999999814,0,0,0,0.0,0.0,0.0
2021-04-26,100371.50045290592,3783.641909865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-27,100691.97989078365,3788.586409865007,4.9445,0.0,1.8754999999999882,0,0,0,0.0,0.0,0.0
2021-04-28,100979.21586361813,3788.586409865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-04-29,101595.74490634468,3815.0561598650074,26.46975,0.0,10.040250000000071,0,0,0,0.0,0.0,0.0
2021-04-30,100615.57041062725,3827.7407598650075,12.6846,0.0,4.811400000000049,0,0,0,0.0,0.0,0.0
2021-05-03,101514.98377308618,3827.7407598650075,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-04,101768.32996283678,3827.7407598650075,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-05,102601.8272919628,3827.7407598650075,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-06,103652.96379578879,3849.2718098650075,21.53105,0.0,8.166949999999929,0,0,0,0.0,0.0,0.0
2021-05-07,104479.48049192192,3852.8968098650075,3.625,0.0,1.375,0,0,0,0.0,0.0,0.0
2021-05-10,104492.4976192255,3852.8968098650075,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-11,103281.31785658537,3855.6083098650074,2.7115,0.0,1.0285000000000082,0,0,0,0.0,0.0,0.0
2021-05-12,101189.98935986075,3867.5925598650074,11.98425,0.0,4.545749999999998,0,0,0,0.0,0.0,0.0
2021-05-13,102723.60235320474,3896.0444598650074,28.4519,0.0,10.792099999999891,0,0,0,0.0,0.0,0.0
2021-05-14,103963.89407364927,3907.542959865007,11.4985,0.0,4.361499999999978,0,0,0,0.0,0.0,0.0
2021-05-17,103732.95084097954,3907.542959865007,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-18,102588.33030470755,3924.3339598650073,16.791,0.0,6.369000000000028,0,0,0,0.0,0.0,0.0
2021-05-19,102014.4880019868,3926.5959598650074,2.262,0.0,0.8579999999999472,0,0,0,0.0,0.0,0.0
2021-05-20,102706.58693823763,3936.9779598650075,10.382,0.0,3.937999999999988,0,0,0,0.0,0.0,0.0
2021-05-21,102955.31324009632,3943.2999598650076,6.321999999999999,0.0,2.3980000000000246,0,0,0,0.0,0.0,0.0
2021-05-24,103412.16505823686,3943.2999598650076,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-25,102794.75737321054,3952.171784865008,8.871825,0.0,3.365175000000022,0,0,0,0.0,0.0,0.0
2021-05-26,103114.05709890534,3952.171784865008,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-05-27,103625.45639452295,3980.419959865008,28.248175,0.0,10.714825000000019,0,0,0,0.0,0.0,0.0
2021-05-28,103929.13040435304,3993.477209865008,13.05725,0.0,4.952750000000037,0,0,0,0.0,0.0,0.0
2021-06-01,104689.91908430887,3995.942209865008,2.4650000000000003,0.0,0.9349999999999454,0,0,0,0.0,0.0,0.0
2021-06-02,104476.1800379051,3998.247709865008,2.3055,0.0,0.8745000000000118,0,0,0,0.0,0.0,0.0
2021-06-03,104253.04891857592,4006.5598348650083,8.312124999999998,0.0,3.1528749999999945,0,0,0,0.0,0.0,0.0
2021-06-04,104891.28407976025,4006.5598348650083,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-07,104494.49093819343,4006.5598348650083,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-08,104819.70789381303,4006.5598348650083,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-06-09,104364.58776751441,4011.025834865008,4.466,0.0,1.69399999999996,0,0,0,0.0,0.0,0.0
2021-06-10,104285.40947544621,4018.130834865008,7.104999999999999,0.0,2.69500000000005,0,0,0,0.0,0.0,0.0
